Prefecture,Station,Rainfall(mm),Comment
Kyoto,Taiza,6,Test data.
Kyoto,Mineyama,9.5,Test data.
Kyoto,Miyazu,4,Test data.
Kyoto,Sakaura,19.4,Test data.
Kyoto,Maizuru,5,Test data.
Kyoto,Mutsuyori,6.5,Test data.
Kyoto,Fukuchiyama,4.4,Test data.
Kyoto,Ayabe,9.2,Test data.
Kyoto,Miwa,4.5,Test data.
Kyoto,Honsho,10.6,Test data.
Kyoto,Miyama,10.6,Test data.
Kyoto,Shuchi,10.6,Test data.
Kyoto,Sonobe,10.8,Test data.
Kyoto,Keihoku,10.9,Test data.
Kyoto,Kyoto,10.9,Test data.
Kyoto,Nagaokakyo,10.9,Test data.
Kyoto,Kyotanabe,10.9,Test data.
