Prefecture,Station,Rainfall(mm),Comment
Kyoto,Taiza,0,Test data.
Kyoto,Mineyama,1.5,Test data.
Kyoto,Miyazu,0,Test data.
Kyoto,Sakaura,0,Test data.
Kyoto,Maizuru,0,Test data.
Kyoto,Mutsuyori,3.5,Test data.
Kyoto,Fukuchiyama,4.4,Test data.
Kyoto,Ayabe,1.2,Test data.
Kyoto,Miwa,4.5,Test data.
Kyoto,Honsho,4.6,Test data.
Kyoto,Miyama,4.6,Test data.
Kyoto,Shuchi,4.6,Test data.
Kyoto,Sonobe,4.8,Test data.
Kyoto,Keihoku,4.9,Test data.
Kyoto,Kyoto,4.9,Test data.
Kyoto,Nagaokakyo,4.9,Test data.
Kyoto,Kyotanabe,4.9,Test data.
